Steps,Episodes,Time Elapsed
10,10000,00:00:00
10,10000,00:00:00
10,10000,00:00:00
10,10000,00:00:00
10,10000,00:00:00
10,10000,00:00:01
10,10000,00:00:01
10,10000,00:00:01
10,10000,00:00:01
10,10000,00:00:01
10,10000,00:00:01
10,10000,00:00:01
10,10000,00:00:02
10,10000,00:00:02
10,10000,00:00:02
10,10000,00:00:02
10,10000,00:00:02
10,10000,00:00:02
10,10000,00:00:02
10,10000,00:00:03
10,10000,00:00:03
10,10000,00:00:03
10,10000,00:00:03
10,10000,00:00:03
10,10000,00:00:04
10,10000,00:00:04
10,10000,00:00:04
10,10000,00:00:04
10,10000,00:00:04
10,10000,00:00:04
10,10000,00:00:05
10,10000,00:00:05
10,10000,00:00:05
10,10000,00:00:05
10,10000,00:00:05
10,10000,00:00:05
10,10000,00:00:06
10,10000,00:00:06
10,10000,00:00:06
10,10000,00:00:06
10,10000,00:00:06
10,10000,00:00:07
10,10000,00:00:07
10,10000,00:00:07
10,10000,00:00:07
10,10000,00:00:08
10,10000,00:00:08
10,10000,00:00:08
10,10000,00:00:09
10,10000,00:00:09
10,10000,00:00:09
10,10000,00:00:09
10,10000,00:00:09
10,10000,00:00:10
10,10000,00:00:10
10,10000,00:00:10
10,10000,00:00:10
10,10000,00:00:11
10,10000,00:00:11
10,10000,00:00:11
10,10000,00:00:11
10,10000,00:00:11
10,10000,00:00:12
10,10000,00:00:12
10,10000,00:00:12
10,10000,00:00:12
10,10000,00:00:12
10,10000,00:00:12
10,10000,00:00:12
10,10000,00:00:13
10,10000,00:00:13
10,10000,00:00:13
10,10000,00:00:13
10,10000,00:00:13
10,10000,00:00:14
10,10000,00:00:14
10,10000,00:00:14
10,10000,00:00:14
10,10000,00:00:14
10,10000,00:00:15
10,10000,00:00:15
10,10000,00:00:15
10,10000,00:00:15
10,10000,00:00:16
10,10000,00:00:16
10,10000,00:00:16
10,10000,00:00:17
10,10000,00:00:17
10,10000,00:00:18
10,10000,00:00:18
10,10000,00:00:19
10,10000,00:00:19
10,10000,00:00:19
10,10000,00:00:20
10,10000,00:00:20
10,10000,00:00:20
10,10000,00:20:05
10,10000,00:20:05
10,10000,00:20:06
10,10000,00:20:06
10,10000,00:20:06
10,10000,00:20:06
10,10000,00:20:06
10,10000,00:20:07
10,10000,00:20:07
10,10000,00:20:07
10,10000,00:20:07
10,10000,00:20:08
10,10000,00:20:08
10,10000,00:20:08
10,10000,00:20:08
10,10000,00:20:09
10,10000,00:20:09
10,10000,00:20:09
10,10000,00:20:09
10,10000,00:20:09
10,10000,00:20:10
10,10000,00:20:10
10,10000,00:20:10
10,10000,00:20:10
10,10000,00:20:10
10,10000,00:20:10
10,10000,00:20:11
10,10000,00:20:11
10,10000,00:20:11
10,10000,00:20:11
10,10000,00:20:12
10,10000,00:20:12
10,10000,00:20:12
10,10000,00:20:12
10,10000,00:20:12
10,10000,00:20:13
10,10000,00:20:13
10,10000,00:20:13
10,10000,00:20:13
10,10000,00:20:13
10,10000,00:20:13
10,10000,00:20:14
10,10000,00:20:14
10,10000,00:20:14
10,10000,00:20:14
10,10000,00:20:15
10,10000,00:20:15
10,10000,00:20:15
10,10000,00:20:15
10,10000,00:20:15
10,10000,00:20:16
10,10000,00:20:16
10,10000,00:20:16
10,10000,00:20:16
10,10000,00:20:16
10,10000,00:20:17
10,10000,00:20:17
10,10000,00:20:17
10,10000,00:20:17
10,10000,00:20:18
10,10000,00:20:18
10,10000,00:20:18
10,10000,00:20:18
10,10000,00:20:19
10,10000,00:20:19
10,10000,00:20:19
10,10000,00:20:19
10,10000,00:20:20
10,10000,00:20:20
10,10000,00:20:20
10,10000,00:20:20
10,10000,00:20:20
10,10000,00:20:21
10,10000,00:20:21
10,10000,00:20:21
10,10000,00:20:22
10,10000,00:20:22
10,10000,00:20:22
10,10000,00:20:22
10,10000,00:20:22
10,10000,00:20:23
10,10000,00:20:23
10,10000,00:20:23
10,10000,00:20:23
10,10000,00:20:23
10,10000,00:20:23
10,10000,00:20:24
10,10000,00:20:24
10,10000,00:40:55
10,10000,00:40:55
10,10000,00:40:56
10,10000,00:40:56
10,10000,00:40:56
10,10000,00:40:56
10,10000,00:40:56
10,10000,00:40:57
10,10000,00:40:57
10,10000,00:40:57
10,10000,00:40:57
10,10000,00:40:57
10,10000,00:40:58
10,10000,00:40:58
10,10000,00:40:58
10,10000,00:40:58
10,10000,00:40:59
10,10000,00:40:59
10,10000,00:40:59
10,10000,00:40:59
10,10000,00:41:00
10,10000,00:41:00
10,10000,00:41:00
10,10000,00:41:00
10,10000,00:41:00
10,10000,00:41:01
10,10000,00:41:01
10,10000,00:41:01
10,10000,00:41:01
10,10000,00:41:01
10,10000,00:41:02
10,10000,00:41:02
10,10000,00:41:02
10,10000,00:41:03
10,10000,00:41:03
10,10000,00:41:03
10,10000,00:41:04
10,10000,00:41:04
10,10000,00:41:04
10,10000,00:41:05
10,10000,00:41:05
10,10000,00:41:05
10,10000,00:41:05
10,10000,00:41:06
10,10000,00:41:06
10,10000,00:41:06
10,10000,00:41:07
10,10000,00:41:07
10,10000,00:41:07
10,10000,00:41:07
10,10000,00:41:07
10,10000,00:41:08
10,10000,00:41:08
10,10000,00:41:08
10,10000,00:41:08
10,10000,00:41:08
10,10000,00:41:09
10,10000,00:41:09
10,10000,00:41:09
10,10000,00:41:09
10,10000,00:41:09
10,10000,00:41:10
10,10000,00:41:10
10,10000,00:41:10
10,10000,00:41:10
10,10000,00:41:10
10,10000,00:41:10
10,10000,00:41:11
10,10000,00:41:11
10,10000,00:41:11
10,10000,00:41:11
10,10000,00:41:11
10,10000,00:41:11
10,10000,00:41:11
10,10000,00:41:12
10,10000,00:41:12
10,10000,00:41:12
10,10000,00:41:12
10,10000,00:41:12
10,10000,00:41:13
10,10000,00:41:13
10,10000,00:41:13
10,10000,00:41:13
10,10000,00:41:13
10,10000,00:41:13
10,10000,00:41:13
10,10000,00:41:14
10,10000,00:41:14
10,10000,00:41:14
10,10000,00:41:14
10,10000,00:41:14
10,10000,00:41:15
10,10000,00:41:15
10,10000,00:41:15
10,10000,00:41:15
10,10000,00:41:16
10,10000,00:41:16
10,10000,00:41:16
10,10000,00:41:16
10,10000,00:41:16
10,10000,00:41:17
10,10000,00:41:17
10,10000,01:00:07
10,10000,01:00:07
10,10000,01:00:07
10,10000,01:00:08
10,10000,01:00:08
10,10000,01:00:08
10,10000,01:00:08
10,10000,01:00:09
10,10000,01:00:09
10,10000,01:00:09
10,10000,01:00:09
10,10000,01:00:09
10,10000,01:00:10
10,10000,01:00:10
10,10000,01:00:10
10,10000,01:00:11
10,10000,01:00:11
10,10000,01:00:11
10,10000,01:00:11
10,10000,01:00:12
10,10000,01:00:12
10,10000,01:00:12
10,10000,01:00:12
10,10000,01:00:12
10,10000,01:00:13
10,10000,01:00:13
10,10000,01:00:13
10,10000,01:00:13
10,10000,01:00:13
10,10000,01:00:14
10,10000,01:00:14
10,10000,01:00:14
10,10000,01:00:14
10,10000,01:00:14
10,10000,01:00:15
10,10000,01:00:15
10,10000,01:00:15
10,10000,01:00:15
10,10000,01:00:15
10,10000,01:00:15
10,10000,01:00:16
10,10000,01:00:16
10,10000,01:00:16
10,10000,01:00:16
10,10000,01:00:16
10,10000,01:00:17
10,10000,01:00:17
10,10000,01:00:18
10,10000,01:00:18
10,10000,01:00:18
10,10000,01:00:19
10,10000,01:00:19
10,10000,01:00:20
10,10000,01:00:20
10,10000,01:00:20
10,10000,01:00:20
10,10000,01:00:20
10,10000,01:00:21
10,10000,01:00:21
10,10000,01:00:21
10,10000,01:00:21
10,10000,01:00:21
10,10000,01:00:21
10,10000,01:00:21
